"코드","발주처명","상위코드"
"GGGGG","석수현대아파트 (입대의)","GGGGG"
"GGGGG","용산데시앙포레 (입대의)","GGGGG"
"GGGGG","서재자이아파트 (입대의)","GGGGG"
"GGGGG","서초자이아파트 (입대의)","GGGGG"
"GGGGG","아이파크삼성동 (입대의)","GGGGG"
"GGGGG","대원효성아파트 (입대의)","GGGGG"
"GGGGG","신길삼환아파트 (입대의)","GGGGG"
"GGGGG","하계청솔아파트 (입대의)","GGGGG"
"GGGGG","이동삼성아파트 (입대의)","GGGGG"
"GGGGG","시흥금강아파트 (입대의)","GGGGG"
"GGGGG","우방신세계타운 (입대의)","GGGGG"
"GGGGG","주은모아아파트 (입대의)","GGGGG"
"GGGGG","창동삼성아파트 (입대의)","GGGGG"
"GGGGG","망미주공아파트 (입대의)","GGGGG"
"GGGGG","답십리청솔우성 (입대의)","GGGGG"
"GGGGG","대림한들아파트 (입대의)","GGGGG"
"GGGGG","평화제일아파트 (입대의)","GGGGG"
"GGGGG","원동현대아파트 (입대의)","GGGGG"
"GGGGG","봇들마을4단지 (입대의)","GGGGG"
"GGGGG","불광미성아파트 (입대의)","GGGGG"
"GGGGG","천천삼성래미안 (입대의)","GGGGG"
"GGGGG","동부올림픽타운 (입대의)","GGGGG"
"GGGGG","청계벽산아파트 (입대의)","GGGGG"
"GGGGG","광장청구아파트 (입대의)","GGGGG"
"GGGGG","현대2차아파트 (입대의)","GGGGG"
"GGGGG","방배우성아파트 (입대의)","GGGGG"
"GGGGG","무실주공3단지 (입대의)","GGGGG"
"GGGGG","수택주공아파트 (입대의)","GGGGG"
"GGGGG","대방대동아파트 (입대의)","GGGGG"
"GGGGG","풍호우성아파트 (입대의)","GGGGG"
"GGGGG","오산청구아파트 (입대의)","GGGGG"
"GGGGG","호수공원아파트 (입대의)","GGGGG"
"GGGGG","침산쌍용아파트 (입대의)","GGGGG"
"GGGGG","철산한신아파트 (입대의)","GGGGG"
"GGGGG","김제위드아파트 (입대의)","GGGGG"
"GGGGG","벽산라이브파크 (입대의)","GGGGG"
"GGGGG","성진빌라트5차 (입대의)","GGGGG"
"GGGGG","계산주공아파트 (입대의)","GGGGG"
"GGGGG","타워팰리스2차 (입대의)","GGGGG"
"GGGGG","흑석동양아파트 (입대의)","GGGGG"
"GGGGG","만덕삼성아파트 (입대의)","GGGGG"
"GGGGG","염주우미아파트 (입대의)","GGGGG"
"GGGGG","협성휴포레용황 (입대의)","GGGGG"
"GGGGG","향촌현대아파트 (입대의)","GGGGG"
"GGGGG","사당제일아파트 (입대의)","GGGGG"
"GGGGG","문화주공3단지 (입대의)","GGGGG"
"GGGGG","하대대경아파트 (입대의)","GGGGG"
"GGGGG","불로동부아파트 (입대의)","GGGGG"
"GGGGG","죽정현대아파트 (입대의)","GGGGG"
"GGGGG","봉곡e편한세상 (입대의)","GGGGG"
"GGGGG","전농우성아파트 (입대의)","GGGGG"
"GGGGG","은빛마을5단지 (입대의)","GGGGG"
"GGGGG","개봉삼호아파트 (입대의)","GGGGG"
"GGGGG","단계이안아파트 (입대의)","GGGGG"
"GGGGG","옥련아주아파트 (입대의)","GGGGG"
"GGGGG","비취맨션1단지 (입대의)","GGGGG"
"GGGGG","가재마을9단지 (입대의)","GGGGG"
"GGGGG","남부민현대타운 (입대의)","GGGGG"
"GGGGG","황실타운아파트 (입대의)","GGGGG"
"GGGGG","수창프라임시티 (입대의)","GGGGG"
"GGGGG","광교힐스테이트 (입대의)","GGGGG"
"GGGGG","목동더샵리슈빌 (입대의)","GGGGG"
"GGGGG","삼계대동아파트 (입대의)","GGGGG"
"GGGGG","등촌대림아파트 (입대의)","GGGGG"
"GGGGG","금호대우아파트 (입대의)","GGGGG"
"GGGGG","감천해태아파트 (입대의)","GGGGG"
"GGGGG","신길한성아파트 (입대의)","GGGGG"
"GGGGG","쌍문동익아파트 (입대의)","GGGGG"
"GGGGG","신비마을아파트 (입대의)","GGGGG"
"GGGGG","대우1차아파트 (입대의)","GGGGG"
"GGGGG","불로길훈아파트 (입대의)","GGGGG"
"GGGGG","이노힐스아파트 (입대의)","GGGGG"
"GGGGG","반천현대아파트 (입대의)","GGGGG"
"GGGGG","원당현대아파트 (입대의)","GGGGG"
"GGGGG","태전삼성아파트 (입대의)","GGGGG"
"GGGGG","고려4차아파트 (입대의)","GGGGG"
"GGGGG","속초부영2단지 (입대의)","GGGGG"
"GGGGG","우주그린아파트 (입대의)","GGGGG"
"GGGGG","서부주공아파트 (입대의)","GGGGG"
"GGGGG","송탄우성아파트 (입대의)","GGGGG"
"GGGGG","시범현대아파트 (입대의)","GGGGG"
"GGGGG","센텀대림아파트 (입대의)","GGGGG"
"GGGGG","리베라아이누리 (입대의)","GGGGG"
"GGGGG","브라운스톤효천 (입대의)","GGGGG"
"GGGGG","지행주공1단지 (입대의)","GGGGG"
"GGGGG","범어현대아파트 (입대의)","GGGGG"
"GGGGG","용당삼성아파트 (입대의)","GGGGG"
"GGGGG","동덕현대아파트 (입대의)","GGGGG"
"GGGGG","용문서우아파트 (입대의)","GGGGG"
"GGGGG","비하삼일아파트 (입대의)","GGGGG"
"GGGGG","송탄동부아파트 (입대의)","GGGGG"
"GGGGG","사천리가아파트 (입대의)","GGGGG"
"GGGGG","연산현대아파트 (입대의)","GGGGG"
"GGGGG","청라센트럴파크 (입대의)","GGGGG"
"GGGGG","중동현대아파트 (입대의)","GGGGG"
"GGGGG","풍암모아아파트 (입대의)","GGGGG"
"GGGGG","새뜸마을4단지 (입대의)","GGGGG"
"GGGGG","삼각동그린타운 (입대의)","GGGGG"
"GGGGG","부곡쌍용아파트 (입대의)","GGGGG"
"GGGGG","경성공원아파트 (입대의)","GGGGG"
"GGGGG","신화타워아파트 (입대의)","GGGGG"
"GGGGG","관음삼성아파트 (입대의)","GGGGG"
"GGGGG","상무중흥2단지 (입대의)","GGGGG"
"GGGGG","직산부영아파트 (입대의)","GGGGG"
"GGGGG","하남제일풍경채 (입대의)","GGGGG"
"GGGGG","신평현대아파트 (입대의)","GGGGG"
"GGGGG","금호타운아파트 (입대의)","GGGGG"
"GGGGG","서곡두산아파트 (입대의)","GGGGG"
"GGGGG","송촌서오아파트 (입대의)","GGGGG"
"GGGGG","메트로시티1차 (입대의)","GGGGG"
"GGGGG","다대자유아파트 (입대의)","GGGGG"
"GGGGG","상인장미3단지 (입대의)","GGGGG"
"GGGGG","상도현대아파트 (입대의)","GGGGG"
"GGGGG","서동현대아파트 (입대의)","GGGGG"
"GGGGG","분평주공2단지 (입대의)","GGGGG"
"GGGGG","롯데캐슬클래식 (입대의)","GGGGG"
"GGGGG","강남데시앙파크 (입대의)","GGGGG"
"GGGGG","삼성한울아파트 (입대의)","GGGGG"
"GGGGG","GS금정아파트 (입대의)","GGGGG"
"GGGGG","힐스테이트동탄 (입대의)","GGGGG"
"GGGGG","삼성푸른아파트 (입대의)","GGGGG"
"GGGGG","서신엘지아파트 (입대의)","GGGGG"
"GGGGG","청학현대아파트 (입대의)","GGGGG"
"GGGGG","동답한신아파트 (입대의)","GGGGG"
"GGGGG","회원한효아파트 (입대의)","GGGGG"
"GGGGG","두산신성아파트 (입대의)","GGGGG"
"GGGGG","도봉서원아파트 (입대의)","GGGGG"
"GGGGG","파인앤유아파트 (입대의)","GGGGG"
"GGGGG","군포율곡아파트 (입대의)","GGGGG"
"GGGGG","지행주공2단지 (입대의)","GGGGG"
"GGGGG","오남성호아파트 (입대의)","GGGGG"
"GGGGG","원천주공아파트 (입대의)","GGGGG"
"GGGGG","샘물타운아파트 (입대의)","GGGGG"
"GGGGG","파동화성파크뷰 (입대의)","GGGGG"
"GGGGG","메타역롯데캐슬 (입대의)","GGGGG"
"GGGGG","당산금호어울림 (입대의)","GGGGG"
"GGGGG","내동롯데아파트 (입대의)","GGGGG"
"GGGGG","산남퀸덤아파트 (입대의)","GGGGG"
"GGGGG","신정현대아파트 (입대의)","GGGGG"
"GGGGG","동성그린아파트 (입대의)","GGGGG"
"GGGGG","대림진흥아파트 (입대의)","GGGGG"
"GGGGG","와이드빌아파트 (입대의)","GGGGG"
"GGGGG","갈산현진에버빌 (입대의)","GGGGG"
"GGGGG","신원2차아파트 (입대의)","GGGGG"
"GGGGG","고암금용아파트 (입대의)","GGGGG"
"GGGGG","우만주공2단지 (입대의)","GGGGG"
"GGGGG","공작한양아파트 (입대의)","GGGGG"
"GGGGG","연수임광아파트 (입대의)","GGGGG"
"GGGGG","브라운스톤상도 (입대의)","GGGGG"
"GGGGG","공도우림아파트 (입대의)","GGGGG"
"GGGGG","정림우성아파트 (입대의)","GGGGG"
"GGGGG","송정모아아파트 (입대의)","GGGGG"
"GGGGG","성당포스코더샵 (입대의)","GGGGG"
"GGGGG","당동쌍용아파트 (입대의)","GGGGG"
"GGGGG","갈산동아아파트 (입대의)","GGGGG"
"GGGGG","가경신라아파트 (입대의)","GGGGG"
"GGGGG","옥수극동아파트 (입대의)","GGGGG"
"GGGGG","선우2차아파트 (입대의)","GGGGG"
"GGGGG","목련두산아파트 (입대의)","GGGGG"
"GGGGG","다대현대아파트 (입대의)","GGGGG"
"GGGGG","남산현대아파트 (입대의)","GGGGG"
"GGGGG","호원두산아파트 (입대의)","GGGGG"
"GGGGG","홍제현대아파트 (입대의)","GGGGG"
"GGGGG","반포힐스테이트 (입대의)","GGGGG"
"GGGGG","삼호그린아파트 (입대의)","GGGGG"
"GGGGG","동춘대동아파트 (입대의)","GGGGG"
"GGGGG","강변해태아파트 (입대의)","GGGGG"
"GGGGG","구곡성일아파트 (입대의)","GGGGG"
"GGGGG","일신우남아파트 (입대의)","GGGGG"
"GGGGG","창동한신아파트 (입대의)","GGGGG"
"GGGGG","사우현대아파트 (입대의)","GGGGG"
"GGGGG","루멘하임아파트 (입대의)","GGGGG"
"GGGGG","삼익2차아파트 (입대의)","GGGGG"
"GGGGG","송내성호아파트 (입대의)","GGGGG"
"GGGGG","원효선경아파트 (입대의)","GGGGG"
"GGGGG","이지더원아파트 (입대의)","GGGGG"
"GGGGG","가능금용아파트 (입대의)","GGGGG"
"GGGGG","계산한국아파트 (입대의)","GGGGG"
"GGGGG","탑석센트럴자이 (입대의)","GGGGG"
"GGGGG","마석대림아파트 (입대의)","GGGGG"
"GGGGG","덕산베스트타운 (입대의)","GGGGG"
"GGGGG","의왕신안아파트 (입대의)","GGGGG"
"GGGGG","연수서해아파트 (입대의)","GGGGG"
"GGGGG","주안진흥아파트 (입대의)","GGGGG"
"GGGGG","강산동신아파트 (입대의)","GGGGG"
"GGGGG","호매실 엔루체 (입대의)","GGGGG"
"GGGGG","갈현현대아파트 (입대의)","GGGGG"
"GGGGG","조촌현대아파트 (입대의)","GGGGG"
"GGGGG","사당극동아파트 (입대의)","GGGGG"
"GGGGG","교동두진아파트 (입대의)","GGGGG"
"GGGGG","화원이진캐스빌 (입대의)","GGGGG"
"GGGGG","백송삼부아파트 (입대의)","GGGGG"
"GGGGG","대내주공아파트 (입대의)","GGGGG"
"GGGGG","김천센트럴자이 (입대의)","GGGGG"
"GGGGG","동현현대아파트 (입대의)","GGGGG"
"GGGGG","칠원대동아파트 (입대의)","GGGGG"
"GGGGG","신평한신아파트 (입대의)","GGGGG"
"GGGGG","청솔8차아파트 (입대의)","GGGGG"
"GGGGG","송광비치아파트 (입대의)","GGGGG"
"GGGGG","구곡대림아파트 (입대의)","GGGGG"
"GGGGG","옥명대우아파트 (입대의)","GGGGG"
"GGGGG","홍릉동부아파트 (입대의)","GGGGG"
"GGGGG","영등신일아파트 (입대의)","GGGGG"
"GGGGG","효동현대아파트 (입대의)","GGGGG"
"GGGGG","벽산타운3단지 (입대의)","GGGGG"
"GGGGG","관악현대아파트 (입대의)","GGGGG"
"GGGGG","거제센트럴자이 (입대의)","GGGGG"
"GGGGG","삼익둥지아파트 (입대의)","GGGGG"
"GGGGG","남통e편한세상 (입대의)","GGGGG"
"GGGGG","금천수정아파트 (입대의)","GGGGG"
"GGGGG","양지포레스토리 (입대의)","GGGGG"
"GGGGG","플루리움3단지 (입대의)","GGGGG"
"GGGGG","백운대주아파트 (입대의)","GGGGG"
"GGGGG","롯데2차아파트 (입대의)","GGGGG"
"GGGGG","문화청솔아파트 (입대의)","GGGGG"
"GGGGG","상인자이아파트 (입대의)","GGGGG"
"GGGGG","태릉우성아파트 (입대의)","GGGGG"
"GGGGG","운암현대아파트 (입대의)","GGGGG"
"GGGGG","내수삼일아파트 (입대의)","GGGGG"
"GGGGG","래미안크레시티 (입대의)","GGGGG"
"GGGGG","묵동한국아파트 (입대의)","GGGGG"
"GGGGG","신안모란아파트 (입대의)","GGGGG"
"GGGGG","기흥우림아파트 (입대의)","GGGGG"
"GGGGG","두보3차아파트 (입대의)","GGGGG"
"GGGGG","하단삼창아파트 (입대의)","GGGGG"
"GGGGG","해피포유아파트 (입대의)","GGGGG"
"GGGGG","쌍용자이아파트 (입대의)","GGGGG"
"GGGGG","대우그린아파트 (입대의)","GGGGG"
"GGGGG","반포자이아파트 (입대의)","GGGGG"
"GGGGG","교동주공3단지 (입대의)","GGGGG"
"GGGGG","연산자이아파트 (입대의)","GGGGG"
"GGGGG","장현삼신아파트 (입대의)","GGGGG"
"GGGGG","수정한양아파트 (입대의)","GGGGG"
"GGGGG","노블파크아파트 (입대의)","GGGGG"
"GGGGG","효성양지아파트 (입대의)","GGGGG"
"GGGGG","본촌현진에버빌 (입대의)","GGGGG"
"GGGGG","가경대원아파트 (입대의)","GGGGG"
"GGGGG","펜타포트1블럭 (입대의)","GGGGG"
"GGGGG","임동주공아파트 (입대의)","GGGGG"
"GGGGG","유수장미아파트 (입대의)","GGGGG"
"GGGGG","도곡한신아파트 (입대의)","GGGGG"
"GGGGG","분평주공3-2 (입대의)","GGGGG"
"GGGGG","성산시영아파트 (입대의)","GGGGG"
"GGGGG","초당현대아파트 (입대의)","GGGGG"
"GGGGG","광장현대5단지 (입대의)","GGGGG"
"GGGGG","현대대영아파트 (입대의)","GGGGG"
"GGGGG","선우4차아파트 (입대의)","GGGGG"
"GGGGG","미주3차아파트 (입대의)","GGGGG"
"GGGGG","탑동현대아파트 (입대의)","GGGGG"
"GGGGG","국화동성아파트 (입대의)","GGGGG"
"GGGGG","야탑탑마을대우 (입대의)","GGGGG"
"GGGGG","장지현대아파트 (입대의)","GGGGG"
"GGGGG","e편한세상둔산 (입대의)","GGGGG"
"GGGGG","신정대림아파트 (입대의)","GGGGG"
"GGGGG","경희학성아파트 (입대의)","GGGGG"
"GGGGG","안동대아아파트 (입대의)","GGGGG"
"GGGGG","운남주공7단지 (입대의)","GGGGG"
"GGGGG","인창주공1단지 (입대의)","GGGGG"
"GGGGG","학잠대림힐타운 (입대의)","GGGGG"
"GGGGG","청솔1차아파트 (입대의)","GGGGG"
